ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
COM,Comoros,0.315601244,0.31561564,0.311714942,0.307829585,0.303315962,0.298734794,0.307888389,0.317004491,0.299954833,0.302687949,0.31991701,0.275570465,0.265291193,0.260680983,0.260543572,0.264277903,0.268255056,0.268884182,0.283787141,0.297887781,0.294639014,0.303933032,0.302274912,0.292140846,0.287927813,0.280681881
COG,Congo,0.268081947,0.268087464,0.257812677,0.247537965,0.254635965,0.263121498,0.262157197,0.261438941,0.267932114,0.271179452,0.249292007,0.220813871,0.224386974,0.225780331,0.232742283,0.218640003,0.215823045,0.208112288,0.21170419,0.219866023,0.21642901,0.237646011,0.230539032,0.233587195,0.222216768,0.21928239
COD,"Congo, the Democratic Republic o",0.233083917,0.232860469,0.23262802,0.23240583,0.232184014,0.232552057,0.232960274,0.233470766,0.234040536,0.234620654,0.214825597,0.152894908,0.151542958,0.151467551,0.15146207,0.126024324,0.146398679,0.147747396,0.151050152,0.150785795,0.163506398,0.207660435,0.204007364,0.211050014,0.207909435,0.207552356
CRI,Costa Rica,0.394264076,0.39300798,0.402032644,0.408477465,0.404365376,0.401871549,0.397179543,0.399353491,0.399371092,0.392674226,0.400793906,0.377256445,0.377800541,0.387930446,0.396496445,0.408919227,0.403618247,0.416612735,0.430482582,0.453636448,0.460324312,0.454513902,0.45186975,0.454298298,0.456175863,0.458279173
CIV,Cote d'Ivoire,0.311643613,0.310854762,0.307041811,0.302643813,0.288195518,0.273921969,0.268113128,0.262310244,0.252077996,0.239780551,0.220730814,0.181351792,0.199104456,0.197164649,0.202665288,0.185410493,0.186363682,0.199632223,0.211553408,0.249212683,0.266897652,0.285136302,0.282739587,0.29380839,0.300851212,0.305080511
HRV,Croatia,0.395105455,0.39618897,0.402002149,0.407099381,0.419575801,0.434534668,0.448966307,0.458008458,0.473340534,0.48072329,0.469274074,0.450904315,0.461763428,0.462679597,0.458409007,0.472240296,0.47032356,0.469590579,0.478974084,0.486159941,0.490546201,0.493507105,0.490036442,0.490271148,0.495527582,0.488179565
CUB,Cuba,0.264616895,0.262126217,0.261149141,0.258807056,0.270998156,0.276779843,0.279272814,0.281144389,0.279814855,0.303812298,0.32418842,0.357401983,0.377305932,0.389386338,0.383398962,0.362195303,0.346409736,0.329129669,0.31308922,0.314524523,0.317818685,0.326585237,0.342674538,0.342020835,0.346939022,0.349753676
CYP,Cyprus,0.449635961,0.452133393,0.452342192,0.451539118,0.455454176,0.459147306,0.46189251,0.467632259,0.478594637,0.471877477,0.497867099,0.573428241,0.577734297,0.597249844,0.505640166,0.500694142,0.493263194,0.499515011,0.503617302,0.519621547,0.521224093,0.508975222,0.522579599,0.517289995,0.525011231,0.516949897
CZE,Czech Republic,0.463055762,0.463794624,0.460066836,0.458778955,0.448322762,0.439411102,0.455231629,0.469498274,0.476545116,0.472084392,0.478232856,0.487546545,0.496523858,0.505419179,0.504619371,0.518390405,0.529106523,0.533163751,0.547410441,0.562929095,0.566408025,0.557198895,0.564948929,0.560623024,0.561385031,0.55501881
DNK,Denmark,0.652122752,0.65447212,0.657582538,0.662662092,0.668832891,0.673918974,0.677395284,0.684804424,0.68776734,0.692005782,0.696688387,0.757132344,0.763549702,0.761445632,0.757911502,0.766362246,0.776421077,0.779525089,0.789918988,0.797479038,0.797678302,0.775030505,0.774139978,0.772435633,0.770108566,0.775458462
